emb_dim,shap_importance,top_feat_1,corr_1,top_feat_2,corr_2,top_feat_3,corr_3,top_feat_4,corr_4,top_feat_5,corr_5
5,0.011548692208305608,V1,,V240,,V241,,V68,,V305,
17,0.010426820288014211,V240,,V1,,V305,,V241,,V68,
53,0.009551340123319228,V68,,V1,,V305,,V241,,V240,
49,0.008996101882209305,V241,,V240,,V305,,V68,,V1,
35,0.007575077588455869,V305,,V1,,V241,,V68,,V240,
57,0.007052845909637652,V1,,V241,,V240,,V68,,V305,
43,0.006721850912195214,V241,,V68,,V305,,V240,,V1,
27,0.0061818862718843025,V68,,V241,,V305,,V1,,V240,
31,0.006145920695442685,V241,,V305,,V1,,V240,,V68,
59,0.005960638501565935,V305,,V68,,V240,,V241,,V1,
